"publish_date","headline_text","year","month","day"
20110903,"pearson smashes national record",2011,9,3
20111020,"ombudsman resigns after questions row",2011,10,20
20110322,"bligh wont rule out early poll after lnp turmoil",2011,3,22
20100117,"aussies charging towards victory",2010,1,17
20091106,"high number of workers living in cars in nt",2009,11,6
20090627,"pay free to air tv clash over sport offerings",2009,6,27
20110211,"warriors vs redbacks day two summary",2011,2,11
20140620,"tim cahill world cup goal inspires next generation of socceroos",2014,6,20
20060112,"another sexual assault in swan hill",2006,1,12
20040410,"police probe alice springs saddle theft",2004,4,10
20100429,"tourist drowns on sunshine coast beach",2010,4,29
20120420,"council pushes for fifo benefits",2012,4,20
20041013,"german tourists lose belongings in berry springs",2004,10,13
20070427,"force pummel cheetahs",2007,4,27
20111009,"computer virus hits us drone fleet",2011,10,9
20051220,"tiger airways flies into darwin",2005,12,20
20180324,"australian f1 grand prix lewis hamilton sets lap record for pole",2018,3,24
20210124,"queen bee shortage leaves beekeepers struggling to rebuild hives",2021,1,24
20111015,"qantas flights remain cancelled",2011,10,15
20071019,"govt fast tracks casino expansion",2007,10,19
20131230,"nrn spc sackings",2013,12,30
20111109,"maitland mall to re open to traffic",2011,11,9
20200527,"coronavirus hail bushfires cause 225m loss at anu",2020,5,27
20100528,"ararat mourns former mayor",2010,5,28
20120502,"long awaited booze report for bourke",2012,5,2
20040109,"bertolucci hails cinemas new auteurs",2004,1,9
20110927,"3 remanded over uk bomb plot charge",2011,9,27
20050330,"revealed webber raced in melbourne with fractured",2005,3,30
20030512,"oil vessel sinks off the coast of india",2003,5,12
20071023,"govt to inject 16m for kokoda track heritage",2007,10,23
20160602,"government holds off on upgrade williaiam slim dr canberra",2016,6,2
20041104,"workshops promote female leadership",2004,11,4
20140507,"man accused of gbh over hugging mans death perth nightclub",2014,5,7
20130918,"cowboys concede try didnt cost them final",2013,9,18
20041010,"man charged with making death threat against pm",2004,10,10
20030526,"land agreement considered reconciliation advance",2003,5,26
20060504,"visa changes set to boost backpacker numbers",2006,5,4
20080711,"aboriginal professor discusses education health",2008,7,11
20050509,"malthouse the buck stops here",2005,5,9
20170222,"cyber expert warning gaming app roblox children",2017,2,22
20130624,"bob irwin urges support for barrier reef health",2013,6,24
20080817,"disappointed tomkins bows out",2008,8,17
20050402,"blues win thriller over bombers",2005,4,2
20121109,"friday weather",2012,11,9
20170815,"trump condemns white supremacists after deadly rally",2017,8,15
20200221,"peel doctors clinics under threat from loss of rural pathway gps",2020,2,21
20060709,"govt rejects car budget claims",2006,7,9
20090408,"eminem spoofs celebs in new video",2009,4,8
20180628,"redlands edges out brisbane as most expensive place to buy unit",2018,6,28
20041024,"perth pride parade draws record crowd",2004,10,24
20100401,"insurance company alters bushfire compo claim",2010,4,1
20070424,"schools to scrap combined social sciences",2007,4,24
20140617,"repairing troy buswell car to cost 15000 wa parliament told",2014,6,17
20210304,"should the concept of 'consent' be taught earlier",2021,3,4
20080815,"housing affordability still at 24 year low hia",2008,8,15
20130826,"closure woes tipped to continue for mount morgan",2013,8,26
20050921,"koizumi confirmed as japans pm",2005,9,21
20110421,"fitzroy crossing crash driver charged",2011,4,21
20150705,"son of mr fluffy paul jansen speaks publicly about",2015,7,5
20050123,"thousands comment on se qld plan",2005,1,23
20110310,"positive injury news for reds hynes",2011,3,10
20091029,"second gas leak in timor sea",2009,10,29
20210302,"report into sa parliament reveals sexual harassment allegations",2021,3,2
20090316,"secret jail manoeuvre robertson stares down union",2009,3,16
20100604,"kids getting into sheep production",2010,6,4
20110430,"woman arrested over 1m cannabis seizure",2011,4,30
20051215,"bracken recalled for waca clash",2005,12,15
20100819,"lacey brothers sentencing hearing adjourned",2010,8,19
20120612,"rev heads destroying national parks",2012,6,12
20121122,"native title precedent could be set",2012,11,22
20081101,"dr congo crisis talks planned as fears grow for",2008,11,1
20090805,"schipper shrugs off swimsuit controversy",2009,8,5
20140731,"economic outlook for wa",2014,7,31
20120324,"proteas soldier on despite poor weather",2012,3,24
20150804,"indigenous constitution recognition",2015,8,4
20210117,"astrazeneca vaccine rollout for regional australians",2021,1,17
20080201,"no safety signs for deadly level crossing",2008,2,1
20101104,"australian of the year finalists for nt named",2010,11,4
20030413,"opp ducks iraq law and order quandary",2003,4,13
20130717,"former school principal found guilty of stealing",2013,7,17
20120208,"man jailed over stabbing gay partner",2012,2,8
20070809,"fleming omitted from nz twenty20 squad",2007,8,9
20160610,"us; japan central bank meetings have markets on",2016,6,10
20080808,"tamworth growing despite national downturn",2008,8,8
20080220,"vline suggests albury wangaratta bus plan",2008,2,20
20110817,"qantas media blitz",2011,8,17
20051028,"ports authority chief up beat about expansion plans",2005,10,28
20141128,"dunlop when elected independents are treated as interlopers",2014,11,28
20200413,"coronavirus outbreak on ruby princess from waiter police say",2020,4,13
20090331,"fire crews winding down burrunga rd efforts",2009,3,31
20200118,"donald trump impeachment defence team gets ken starr",2020,1,18
20151213,"geminids meteor shower to light up dark december sky",2015,12,13
20120526,"worker import deal under fire",2012,5,26
20110325,"bligh tight lipped on early election talk",2011,3,25
20050301,"australia to chase 234 for win",2005,3,1
20060330,"mayfield rehab set to start",2006,3,30
20101201,"dinosaurs stomp to top of rich list",2010,12,1
20170404,"holbrook residents say goodbye asbestos ridden homes",2017,4,4
20050114,"wagga hearing to investigate police brutality",2005,1,14
20120716,"photo may hold key to missing boy case",2012,7,16
20121201,"spain to tour shipwrecks hidden treasures",2012,12,1
20130802,"winning horse dies of colic",2013,8,2
20050924,"skydiver hurt in championships parachute mishap",2005,9,24
20060217,"warriors trump blues by six wickets",2006,2,17
20200523,"coronavirus update covid19 boris johnson resist sacking cummings",2020,5,23
20180228,"hannah gadsby interview picasso and trump and nakedy nudes",2018,2,28
20110817,"ella questions deans resigning",2011,8,17
20200522,"hollywood actress and husband to serve prison time college scam",2020,5,22
20031201,"english soccer chiefs defend ferdinand decision",2003,12,1
20030224,"egyptian parliament extends emergency laws by",2003,2,24
20140306,"great barrier reef will be irreversibly damaged",2014,3,6
20050406,"jobs at risk from oh and s reforms farmers",2005,4,6
20100204,"yipirinya moth",2010,2,4
20121024,"oosh meeting",2012,10,24
20100516,"interview ricky stuart",2010,5,16
20150811,"gold coast boxer skye nicolson commonwealth games bid",2015,8,11
20090617,"defiant stand",2009,6,17
20190227,"dumpster diving for food in venezuela",2019,2,27
20070905,"solomon is refuses aust extradition request for",2007,9,5
20141027,"nrn country of origin food labelling report",2014,10,27
20030310,"govt confirms commitment to aquatic habitats",2003,3,10
20170808,"london cab shelters get heritage listing",2017,8,8
20110105,"man accused of assaulting police",2011,1,5
20131020,"call for specialised drug treatment prisons to cut overdose dea",2013,10,20
20191221,"madeleine ogilvie shakes up tasmanian parliament",2019,12,21
20130204,"third charged with sexual assault of teen",2013,2,4
20191101,"children escape a childcare centre and run onto a",2019,11,1
20090407,"fitzroy crossing police station most dilapidated",2009,4,7
20060125,"sa hospitals get 67m funding boost",2006,1,25
20030712,"bush talks tough on terror and taylor",2003,7,12
20071209,"us intelligence official defends iran nuclear",2007,12,9
20090209,"paronella park hit by floods",2009,2,9
20040120,"fires under investigation",2004,1,20
20120822,"we have to create the opportunity",2012,8,22
20130220,"horse studs call for csg ban to include coal mines",2013,2,20
20160304,"nsw beef market trends",2016,3,4
20140227,"who is responsible for asylum seekers detained on",2014,2,27
20120217,"grandstand good game",2012,2,17
20150827,"the abcs of going to uni",2015,8,27
20030726,"palestinian pm to meet sharon after us talks",2003,7,26
20120531,"former awb director admits to breach",2012,5,31
20150724,"royal adelaide hospital contamination claim",2015,7,24
20091026,"moira state park fire under control",2009,10,26
20151001,"pacific nations poised for a landmark breakthrough",2015,10,1
20150522,"conductive education alternative therapy for cerebral palsy",2015,5,22
20070623,"aussies warned against stem cell tourism",2007,6,23
20180527,"long forgotten loft rediscovered in historic homestead",2018,5,27
20191102,"failure to agree on new antarctic protected area again",2019,11,2
20041101,"tas whale sightings encourage scientists",2004,11,1
20090409,"police boost for shoalhaven",2009,4,9
20100601,"barham expects coastal plan to gain support",2010,6,1
20170126,"a big country big barra in lake kununurra",2017,1,26
20151020,"bradley cooper on why he got hot under the collar",2015,10,20
20150314,"interview kurt gidley",2015,3,14
20191025,"woman successfully sues brother in law raped her when she was 14",2019,10,25
20030630,"carr defends prison handling of political assassin",2003,6,30
20030813,"sex offenders program better late then never opp",2003,8,13
20071215,"fists fly in skorean parliament",2007,12,15
20070424,"g g remembers anzacs",2007,4,24
20140709,"van persie ill could miss argentina semi final world cup",2014,7,9
20081124,"mill operators look forward to lake bonney sample",2008,11,24
20151112,"us national farmers union tpp",2015,11,12
20121001,"pacific islanders call alaska home",2012,10,1
20130901,"several new species found around remote wa coast",2013,9,1
20050829,"abc loses bid to screen film about child killer",2005,8,29
20140929,"four people confirmed dead after japan volcano eruption",2014,9,29
20210415,"virgin australia to boost domestic recovery program",2021,4,15
20071017,"howard knows he will lose debate brown",2007,10,17
20110415,"hope for riverfront revamp to lure events",2011,4,15
20140516,"parents worried by changes to canberra autism programs",2014,5,16
20080601,"poachers blamed for nepal rhino deaths",2008,6,1
20121127,"wa farmers need to get in the zone",2012,11,27
20070503,"smoking hurts knees study finds",2007,5,3
20101202,"cocoa shortage could make chocolate a rare treat",2010,12,2
20150209,"leadership spill regional voters dubbo",2015,2,9
20160411,"jordan spieths masters meltdown",2016,4,11
20130507,"timeless reflections of an active witness",2013,5,7
20090312,"harrison gets go ahead for titans opener",2009,3,12
20160427,"young australian team gearing up for rio 100 days out",2016,4,27
20070404,"rick farley great speeches of rural australia",2007,4,4
20170112,"melbourne hurricanes beat hobart hurricanes in big bash match",2017,1,12
20120703,"rates on hold in july",2012,7,3
20150317,"berry farmer swaps to frozen market",2015,3,17
20120814,"school mums strike a blow in the shearing shed",2012,8,14
20130328,"technology takeover doesnt compute says retiring",2013,3,28
20210323,"aldi boss tom daunt on 20 years in the australian",2021,3,23
20031011,"karzai approves ambitious demobilisation plan",2003,10,11
20130405,"woodside to join jpp case as respondent",2013,4,5
20040319,"nsw govt pushed for austeel answers",2004,3,19
20110817,"charges over goldfields death",2011,8,17
20150930,"tasmanian devils killed on road days after being released",2015,9,30
20100111,"united draws with gold coast",2010,1,11
20050922,"glory scrape away victory",2005,9,22
20180115,"chicken truck rollover north geelong",2018,1,15
20130901,"riot police cronulla riots pub fights sydney",2013,9,1
20160923,"bhutanese refugees form all girls soccer team",2016,9,23
20161111,"dairy company collapse milk national dairy products",2016,11,11
20070309,"group steps up fight to stop cane toad spread",2007,3,9
20070813,"two players to front arc judiciary",2007,8,13
20060130,"cosgrove eyes world cup berth",2006,1,30
20141219,"no suspects yet in stabbing deaths say police",2014,12,19
20071031,"clark dumps sports minister from nz cabinet",2007,10,31
20160810,"echo taskforce investigating attwood shooting",2016,8,10
20190605,"aged care ballerinas in byron bay",2019,6,5
20050907,"rates stay put",2005,9,7
20201212,"driver allegedly overtook police car illegally breath test",2020,12,12
20140321,"north sydney mayor seeks to use bullying laws against councillor",2014,3,21
20131108,"country wide",2013,11,8
20030304,"disappointment over juvenile crime meeting",2003,3,4
20200728,"queensland historic sandra creamer admitted to legal profession",2020,7,28
20080626,"council mergers meet resistance",2008,6,26
20100531,"search continues for mental health patient",2010,5,31
20131205,"south korea fta",2013,12,5
20121003,"nambucca sells land to charities for 241",2012,10,3
20110808,"west gambier tops footy ladder with win over",2011,8,8
20200709,"asx rises treasury wine falls market uk hospitality stimulus",2020,7,9
20110611,"tsonga shocks nadal at queens",2011,6,11
20151222,"farming deer at tangoa",2015,12,22
20150412,"missing sydney woman found alive and well",2015,4,12
20051003,"rain offers riverland farmers hope during crucial",2005,10,3
20070625,"laws calls it quits",2007,6,25
20161207,"on aleppo: the world simply doesnt care",2016,12,7
20100608,"revenge attack ends in death of man",2010,6,8
20160727,"wa child psychiatrist in court on child sex offences",2016,7,27
20210415,"corrections navy dance performance",2021,4,15
20130114,"police assault at forster party",2013,1,14
20060807,"project seeking online submissions on rural youth",2006,8,7
20131127,"chapman the hysteria over wind farms",2013,11,27
20110121,"man arrested over guitar haul",2011,1,21
20050726,"woman dies in single car crash",2005,7,26
20120915,"hogg baffles black caps in warm up",2012,9,15
20110120,"north west irrigation scheme unveiled",2011,1,20
20080418,"lu and koch share ginn open lpga lead",2008,4,18
20140907,"the hit up september 7",2014,9,7
20120710,"abbott welcomes porter to fold before preselection",2012,7,10
20160429,"ice addicted killer walks free melbourne court",2016,4,29
20130202,"suicide attack at pakistan checkpost",2013,2,2
20140527,"in the studio with scott phillips",2014,5,27
20160112,"will images of starving syrian children end the conflict",2016,1,12
20060314,"bed shortage contributed to death health dept says",2006,3,14
20050427,"pumping continues to recover leaked diesel in",2005,4,27
20180216,"donald trump cites mental health not gun speech florida shooting",2018,2,16
20041119,"mixed reaction to signage issue",2004,11,19
20160803,"holland confirmed debut for australia against sri lanka in galle",2016,8,3
20050816,"trujillos regulations gripe belies telstras record",2005,8,16
20131031,"nabs annual profit falls short of expectations",2013,10,31
20090702,"police bust credit card fraudsters",2009,7,2
20100809,"house fires claim three lives",2010,8,9
20120924,"former ambassador rates australias un chances",2012,9,24
20030613,"serbian police arrest alleged war criminal",2003,6,13
20141010,"australian sharemarket suffers biggest fall since",2014,10,10
20110825,"second man arrested over double shooting",2011,8,25
20111003,"vic boy killed in quad bike flip",2011,10,3
20180907,"dog sniffs out owl vomit to help researchers",2018,9,7
20071204,"council says no to gun shop near school",2007,12,4
20031027,"firefighters union warns of inadequate risk",2003,10,27
20160527,"new zealand netball to get stronger after trans tasman split",2016,5,27
20120315,"grandstand wednesday 14 march",2012,3,15
20210309,"broken hill far west jobs abs weekly payroll data",2021,3,9
20050513,"no bail for woman accused of babys murder",2005,5,13
20200318,"coronavirus catholic church services cancelled",2020,3,18
20170530,"queensland police confirm gunman shot dead",2017,5,30
20200902,"girringun aboriginal ranger women cool burn help mahogany glider",2020,9,2
20080117,"sa govt defends mining environment standards",2008,1,17
20070927,"award recognises perenjori schools waterwise",2007,9,27
20130416,"changes to local olive industry",2013,4,16
20140218,"lopex rallies to beat querrey at delray beach",2014,2,18
20130816,"power rejects sanfl's reserves team offer",2013,8,16
20080710,"kafkas papers to be released 84yrs after his death",2008,7,10
20190520,"double amputee wins euroformula race",2019,5,20
20170627,"supreme court partially revives trumps",2017,6,27
20100202,"asylum seekers had adf phone numbers",2010,2,2
20070529,"recycled water pipeline fast track panic politics",2007,5,29
20150918,"disneys moana to showcase polynesian culture",2015,9,18
20200823,"talking pictures",2020,8,23
20030728,"shire to help boost transport options",2003,7,28
20050221,"abbott appeals for sons privacy",2005,2,21
20140226,"central coast mariners lose afc champions league match to fc se",2014,2,26
20050611,"labor group backs proposed detention changes",2005,6,11
20070523,"rock lobster fisherman seek pulp mill assurances",2007,5,23
20121010,"town comemorates death of three in bali bomings",2012,10,10
20160210,"upper spencer gulf delegation returns from nuclear reactor visit",2016,2,10
20090925,"shire green lights economic development plan",2009,9,25
20050327,"task force to tackle elder abuse",2005,3,27
20120830,"elaborate arson bid at hackham shops",2012,8,30
20090618,"man jailed for fatal punch",2009,6,18
20050315,"water supply drops again",2005,3,15
20060901,"mass seal shooting prompts penalties review",2006,9,1
20091016,"jihadists could have caused serious atrocity police",2009,10,16
20030911,"resource centre mooted for calingiri",2003,9,11
20040216,"rain brings locusts threat",2004,2,16
20100416,"peter naumann public programs and education",2010,4,16
20080406,"laidley reneges on umpire accusations",2008,4,6
20050303,"tree hunter resizes gandalfs staff",2005,3,3
20111005,"fishers warned of abalone crackdown",2011,10,5
20081025,"boss confident hes on right mount",2008,10,25
20141110,"pan pacific masters games expected to deliver 25m",2014,11,10
20060111,"citrus growers asked to check pumps",2006,1,11
20090108,"amy winehouse abandons norway drug fine appeal",2009,1,8
20060524,"howard beazley argue nuclear power",2006,5,24
20170907,"euthanasia feeling about assisted dying among older australians",2017,9,7
20091110,"unlicensed investment advisers fined",2009,11,10
20040223,"experts say meningococcal cases not linked",2004,2,23
20060312,"emergency services unions test games readiness",2006,3,12
20091117,"un calls for global approach to tackle hunger",2009,11,17
20170907,"texas woman slips out of handcuffs speeds away",2017,9,7
20111109,"westpac consumer sentiment",2011,11,9
20130107,"regional carriers decline to speak about moree flight tender",2013,1,7
20160822,"1 william street weather delays completion of project",2016,8,22
20160311,"road crash experts at odds on fatal speeding sturt highway crash",2016,3,11
20100713,"rain blamed for drop in ranger uranium output",2010,7,13
20160922,"legal program aims to better support traffic offenders",2016,9,22
20140403,"vanuatu cyclone preparation",2014,4,3
20130227,"euro markets slide on italy us gains on bernanke",2013,2,27
20161021,"victor harbor hit run driver samantha farrer sentenced",2016,10,21
20140410,"adam giles slams rebel nt mla alison anderson",2014,4,10
20110216,"twin tons as pakistan ramp up",2011,2,16
20100603,"petition to federal government calling for tafe",2010,6,3
20100623,"abduction attempts could be linked police",2010,6,23
20120422,"interview brittany elmslie",2012,4,22
20170324,"land trusts grant access for northern gas pipeline construction",2017,3,24
20130419,"free flights to dark mofo",2013,4,19
20070914,"credit check firm calls for overhaul of lending",2007,9,14
20050224,"3 am lockout helps cut nightclub violence",2005,2,24
20140718,"mh17 raw vision from crash site",2014,7,18
20060718,"public comment sought on perth to bunbury highway",2006,7,18
20111102,"mrrt goes to parliament",2011,11,2
20070511,"2002 bali bomb suspect eludes capture in",2007,5,11
20141030,"extended interview with andrew thorburn",2014,10,30
20120807,"north coast airports performing poorly",2012,8,7
20050821,"govt resists pressure for housing inquiry",2005,8,21
20131001,"wagga council cans $400m wuai trade centre",2013,10,1
20190617,"theo hayez father makes emotional plea for information",2019,6,17
20161221,"stradbroke island mining era to end as tourism destination begin",2016,12,21
20040529,"budget wont ease hospital waiting times brown",2004,5,29
20040407,"melbourne bus drivers locked out",2004,4,7
20140501,"diesel rebate speculation",2014,5,1
20100511,"mp outlines budget wish list",2010,5,11
20090728,"arroyo hits back at critics",2009,7,28
20150604,"federal senator calls for free range egg clarity",2015,6,4
20110907,"survey: south east industry pessimistic",2011,9,7
20210131,"frydenberg tells zuckerberg goverment wont back down media code",2021,1,31
20140819,"toro energy on uranium sales to india",2014,8,19
20160331,"perth childrens hopsital water piping fault sparks delay concern",2016,3,31
20121226,"wild thing fails safety compliance for sydney to",2012,12,26
20110214,"tasers could have prevented shooting act police",2011,2,14
20110615,"lopez on the fence about idol return",2011,6,15
20150619,"christensen rejects code criticism audio",2015,6,19
20141020,"measles warning issued for passengers on bali to brisbane flight",2014,10,20
20170220,"illegal tobacco cigarettes smuggled into australia fluffy toys",2017,2,20
20090529,"irrigators concerned over water buyback job losses",2009,5,29
20160308,"liz parotta and sarah fordyce discuss working in mining sector",2016,3,8
20160825,"colombia farc sign final deal to end five decades of bloodshed",2016,8,25
20141009,"afl bans swans from trading in cola crackdown",2014,10,9
20110524,"pirates go on trial in south korea",2011,5,24
20131126,"fiji women cricket",2013,11,26
20101005,"opposition grills minister over paedophile teacher",2010,10,5
20080619,"kokoda trail protection hurting local landowners",2008,6,19
20091218,"nz woman charged over gold coast glassing incident",2009,12,18
20081004,"tata motors pulls out of w bengal after protests",2008,10,4
20130130,"wednesday markets with martin lakos",2013,1,30
20090122,"stuttering serena reaches third round",2009,1,22
20090224,"asic loses bid to delay awb chiefs trial",2009,2,24
20151018,"wa mp organises rally over sex offenders release",2015,10,18
20071214,"more illegal horse movements under investigation",2007,12,14
20180921,"passengers suffer ear pain and nose bleeds when aircraft loses",2018,9,21
20080720,"police investigate teens gunshot wound",2008,7,20
20100201,"aboriginal leaders urge welfare changes",2010,2,1
20121017,"dave tollner on indigenous community grog controls",2012,10,17
20130724,"charges withdrawn 26 dismissed against tarrawonga protestor",2013,7,24
20150922,"skymuster satellite launch",2015,9,22
20140324,"dollar drops as manufacturing retreats again in china",2014,3,24
20131211,"electric atmosphere at mandela memorial",2013,12,11
20151102,"optus to broadcast premier league in australia",2015,11,2
20100921,"fake credit cards fooling shopkeepers",2010,9,21
20080207,"police warn against illegal cattle slaughtering",2008,2,7
20050830,"fuel crisis hits qld hard",2005,8,30
20040918,"new australians to celebrate citizenship",2004,9,18
20040301,"call continues for kangaroo is koala cull",2004,3,1
20160308,"colin barnett perth race close john carey labor preselection",2016,3,8
20070410,"man back in court for bail breach",2007,4,10
20050107,"south africa recalls boucher",2005,1,7
20200528,"coronavirus to send wa economy into recession ben wyatt confirms",2020,5,28
20060704,"noisy vehicle identification trial under way",2006,7,4
20090201,"icc again awards england oval test on forfeit",2009,2,1
20210215,"act covid 19 vaccine rollout when can get vaccinated canberra",2021,2,15
20110822,"brull the campaign against the max brenner protesters",2011,8,22
20080909,"nationals leader brendon grylls and independent",2008,9,9
20050808,"more rainwater tanks to be used in future",2005,8,8
20120906,"tas jobless rate dips again",2012,9,6
20091213,"official ceremony welcomes pandas",2009,12,13
20061018,"lennon commits 5m for stolen generation",2006,10,18
20180202,"shopping centre car park legal threats may be unenforceable",2018,2,2
20141017,"rural communities fear for health services amid budget cuts",2014,10,17
20181203,"astronaut welcomes new space companion",2018,12,3
20171209,"rating the top 10 wa politicians of 2017",2017,12,9
20171209,"melbourne residents concerned about combustible cladding",2017,12,9
20110801,"shattered bailey wants quick return",2011,8,1
20100104,"pedestrian seriously injured in morning accident",2010,1,4
20081231,"energy deregulation will put customers at risk",2008,12,31
20141120,"labor says anger and frustration brewing over",2014,11,20
20180130,"training 70 horses in 7 days tranforms horses and humans",2018,1,30
20150313,"cummins returns as clarke hints at australian changes",2015,3,13
20140204,"election sparks calls for more legal aid funding",2014,2,4
20200611,"coronavirus updates brazil tokyo olympics uk deaths vaccine",2020,6,11
20121025,"man killed in freeway emergency lane",2012,10,25
20211012,"marsh says ashes great series to either run drinks for or watch",2021,10,12
20060615,"president pm make a date with the king",2006,6,15
20050623,"australia welcomes eu sugar reform",2005,6,23
20100914,"cruz bardem expecting baby",2010,9,14
20100425,"greens mp giz watson talks about the affair",2010,4,25
20061114,"luxury camping offered to well heeled",2006,11,14
20110429,"tillakaratne alleges rampant fixing",2011,4,29
20140209,"media call anastasia myskina",2014,2,9
20040320,"annan warns of climate change risks",2004,3,20
20161017,"nick kyrgios booted off atp tour for extended period",2016,10,17
20031020,"young leader urges rural input in politics",2003,10,20
20030330,"zimbabwe tour of england to go ahead",2003,3,30
20160301,"tuesday markets with angus nicholson from ig",2016,3,1
20081205,"indonesia arrests 2 people smugglers",2008,12,5
20091202,"audit reveals prison employees 77k overtime",2009,12,2
20070121,"drug could help prevent breast cancer",2007,1,21
20080529,"bligh denies claims of patel release over document",2008,5,29
20120214,"green copy captaincy demotion",2012,2,14
20040122,"ponting confident lee will bounce back",2004,1,22
20131206,"no room for fire complacency",2013,12,6
20080720,"rooney tips 10 golds for aussie women",2008,7,20
20190906,"the tortuous history of women in pain",2019,9,6
20101013,"wife convicted over burning husband",2010,10,13
20050321,"attacks kill 21 two years after iraq invasion",2005,3,21
20100721,"armstrong attacks on pyrenees climb",2010,7,21
20041007,"coke seals crusta fruit juices deal",2004,10,7
20130215,"recruiting insects as biocontrol agents on farms",2013,2,15
20090820,"david jones newcastle redevelopment delayed",2009,8,20
20180715,"jaguar escapes enclosure at new orleans zoo kills animals",2018,7,15
20191003,"geoscience australia stop printing and selling topographic maps",2019,10,3
20150702,"treasurer wont be drawn on funding model for maitland hospit",2015,7,2
20131017,"ballarat port fairy lose power in wild winds",2013,10,17
20060429,"iran speeds up nuclear workiaea",2006,4,29
20130130,"png disaster centre having difficulty responding",2013,1,30
20070119,"severe storms rock europe at least 20 dead",2007,1,19
20040920,"latham requested branch stack candidate",2004,9,20
20110914,"bird disease spreads to racing pigeons",2011,9,14
20120806,"no forest deal reached in tasmania",2012,8,6
20120205,"australian syrians call for end to bloodshed",2012,2,5
20130527,"bland shire's bid for dull and boring friends",2013,5,27
20130802,"currumbin alley safety plan to be revealed",2013,8,2
20090508,"i apologise hamilton smith",2009,5,8
20120811,"australian charged over jet ski death",2012,8,11
20141219,"netball comp expected to go ahead despite football",2014,12,19
20130228,"emotional testimony at us gun reform committee",2013,2,28
20090914,"tonkin traffic lights out",2009,9,14
20120921,"melbourne parking spots go green",2012,9,21
20111129,"man charged over stock theft in wa",2011,11,29
20080830,"two killed on melbourne roads",2008,8,30
20110531,"wild weather continues to wind its way",2011,5,31
20030611,"qld govt considers indigenous governance changes",2003,6,11
20070925,"pilot training system sparks air safety fears",2007,9,25
20180923,"needles found in australian strawberries sold in new zealand",2018,9,23
20080623,"living costs up under carbon trading",2008,6,23
20050329,"phone services returning to normal",2005,3,29
20031115,"brain tumours kill more children more than any",2003,11,15
20050211,"herbal extract effective remedy for depression",2005,2,11
20080523,"crows cautious of battered eagles",2008,5,23
20170228,"appeal dropped palm island riots court ruling qld government",2017,2,28
20080212,"economy blamed for loss of call centre jobs",2008,2,12
20120712,"wrattonbully records top vintage",2012,7,12
20160201,"novak djokovic wins australian open",2016,2,1
20160830,"teens exmouth heatstroke death an accident coroner finds",2016,8,30
20090618,"new buses to fill north west transport void",2009,6,18
20061211,"wheat export system should focus on grower returns",2006,12,11
20040509,"cosgrove shocked by iraq prisoner abuse",2004,5,9
20131128,"mac finish online",2013,11,28
20061217,"landis on verge of quitting cycling",2006,12,17
20090416,"carbon debate is over",2009,4,16
20081222,"qld robotsurgery",2008,12,22
20160819,"aussie mitchell sixth in rio javelin final",2016,8,19
20070508,"ripper urged to secure water future",2007,5,8
20150618,"northern australia white paper government to unveil vision",2015,6,18
20120130,"warning of poor water quality at bay beaches",2012,1,30
20111201,"apollo 13 notebook sold",2011,12,1
20190724,"polish newspaper distributes lgbt free zone stickers",2019,7,24
20140203,"huon aquaculture wins grant",2014,2,3
20141224,"human remains found at darwin site danny deacon carlie sinclair",2014,12,24
20200603,"latrobe valley transformer super load headed for loy yang",2020,6,3
20060120,"miner sets sights on higher grade mineral sands",2006,1,20
20121108,"clarke holds keys in world title fight",2012,11,8
20200701,"nsw government new shark strategy more drones no helicopters",2020,7,1
20050903,"sa cricketers face rape charges",2005,9,3
20120809,"gunns loses legal costs case",2012,8,9
20090413,"grandmother died after washing toxic clothes",2009,4,13
20210222,"kakadu in crisis",2021,2,22
20201116,"soldier war crimes inquiry to shock and disturb australians",2020,11,16
20130414,"interview pedj bojic",2013,4,14
20130619,"former billionaire nathan tinkler sells out of",2013,6,19
20120312,"violence spikes in gaza as death toll hits 18",2012,3,12
20111116,"bollinger strains ankle as blues miss points",2011,11,16
20081117,"obama says aiding economy trumps budget deficit",2008,11,17
20190513,"victoria police investigates fitzroy raid hares and hyenas",2019,5,13
20030614,"immigration backlog clogs federal court",2003,6,14
20040524,"labor accuses govt of jones flint cover up",2004,5,24
20070904,"emergency depts treating more asthma sufferers",2007,9,4
20111115,"sprouted again",2011,11,15
20080215,"apology for own benefit",2008,2,15
20060117,"federer strolls into second round",2006,1,17
20050317,"anderson admits to discussing windsor at meeting",2005,3,17
20110218,"chief scientist stands down",2011,2,18
20050805,"govt dept wraps up casino tiger probe",2005,8,5
20110726,"burdekin growers look to other crops as sugar",2011,7,26
20091113,"recent ruling from court of arbitration for sport",2009,11,13
20140827,"mining crunch bites seven group bottom line",2014,8,27
20171028,"what has the high courts citizenship decision taught us",2017,10,28
20070628,"rescues under way in vic floods",2007,6,28
20050411,"martin bags six to put black caps in charge",2005,4,11
20080619,"housing affordability task force mooted",2008,6,19
20050920,"north korean nuclear promise on shaky ground",2005,9,20
20140609,"mikael lundberg wins austrian open after playoff",2014,6,9
20141217,"cyclone tracy ernie chin old gods found darwin temple ruins",2014,12,17
20190228,"lauren jackson hall of fame",2019,2,28
20120111,"share fall to hit gunns' pulp mill plans",2012,1,11
20160529,"hull city promoted premier league sheffield wednesday play off",2016,5,29
20030903,"fisheries looking into oyster concerns",2003,9,3
20040619,"new engine boost for webber",2004,6,19
